x1,x2,x3
0.7634919912447706 - 2.8995033964115233im,0.24271145466409524 + 1.5645171194196197im,0.17391385812470542 + 1.2652290518524405im
0.24273006547375758 + 1.564511884798959im,0.39106954622823376 - 2.6879314973056205im,0.19186766492456642 + 1.1157291848438005im
0.17391981124064734 + 1.265227082954534im,0.19186509304872762 + 1.115729792587824im,0.2592820017857052 - 2.3460988858634146im
