x1,x2,x3
0.9223 - 3.1046im,0.3436 + 1.4301im,0.2443 + 1.1737im
0.3436 + 1.4301im,0.4706 - 2.7967im,0.2468 + 1.0402im
0.2443 + 1.1737im,0.2468 + 1.0402im,0.2995 - 2.4001im
