x1,x2,x3
0.8319913838049425 - 2.9454230426264605im,0.27695704922547976 + 1.5388474635527645im,0.20046144536702404 + 1.251260195131008im
0.2769752454053747 + 1.5388418537399204im,0.4086957816353671 - 2.7021518708449133im,0.20469353670222104 + 1.1078019504225405im
0.20046725838543394 + 1.2512581047088593im,0.20469101986557584 + 1.1078026314854799im,0.2699410035949119 - 2.350216624849687im
