x1,x2,x3
0.8724 - 3.0615im,0.299 + 1.4763im,0.2207 + 1.1964im
0.299 + 1.4762im,0.4248 - 2.7451im,0.2177 + 1.0731im
0.2207 + 1.1964im,0.2177 + 1.0731im,0.2817 - 2.3804im
